messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 안녕! 오늘 날씨 진짜 좋다!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 오늘 머리 했는데 어때? 잘 어울리지?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 오늘 머리 했는데 어때? 잘 어울리지?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 오늘 머리 했는데 어때 잘 어울리지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 오늘 머리 했는데 어때 잘 어울리지""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 역시 우리 에디가 제일 똑똑해! 최고야!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 역시 우리 에디가 제일 똑똑해! 최고야!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 역시 우리 에디가 제일 똑똑해 최고야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 역시 우리 에디가 제일 똑똑해 최고야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 하루 종일 웃을 일만 생기네.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 하루 종일 웃을 일만 생기네.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 하루 종일 웃을 일만 생기네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 하루 종일 웃을 일만 생기네""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 간식 먹으면서 영화 보니까 진짜 행복하다.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 간식 먹으면서 영화 보니까 진짜 행복하다.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 간식 먹으면서 영화 보니까 진짜 행복하다""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 간식 먹으면서 영화 보니까 진짜 행복하다""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 나 오늘 생일이야! 축하해줘!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 1,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 나 오늘 생일이야! 축하해줘!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 1, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 나 오늘 생일이야 축하해줘""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 나 오늘 생일이야 축하해줘""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 우와! 하늘에 무지개 떴어! 빨리 봐봐!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 우와! 하늘에 무지개 떴어! 빨리 봐봐!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 우와 하늘에 무지개 떴어 빨리 봐봐""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 우와 하늘에 무지개 떴어 빨리 봐봐""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 방금 너무 웃긴 얘기를 들었어, 들어볼래?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 방금 너무 웃긴 얘기를 들었어, 들어볼래?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_04\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 방금 너무 웃긴 얘기를 들었어 들어볼래""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 방금 너무 웃긴 얘기를 들었어 들어볼래""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_04\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘따라 밥맛이 꿀맛이네!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘따라 밥맛이 꿀맛이네!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘따라 밥맛이 꿀맛이네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘따라 밥맛이 꿀맛이네""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 너 덕분에 내가 항상 웃는다. 고마워!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 너 덕분에 내가 항상 웃는다. 고마워!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 너 덕분에 내가 항상 웃는다 고마워""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 너 덕분에 내가 항상 웃는다 고마워""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 드디어 기다리던 택배가 도착했어! 뜯어보자!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 드디어 기다리던 택배가 도착했어! 뜯어보자!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 드디어 기다리던 택배가 도착했어 뜯어보자""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 드디어 기다리던 택배가 도착했어 뜯어보자""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 아까 산책할 때 강아지가 나한테 꼬리 쳤어. 너무 귀여워!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 아까 산책할 때 강아지가 나한테 꼬리 쳤어. 너무 귀여워!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 아까 산책할 때 강아지가 나한테 꼬리 쳤어 너무 귀여워""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 아까 산책할 때 강아지가 나한테 꼬리 쳤어 너무 귀여워""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 목표 달성했어! 나 자신 칭찬해!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 목표 달성했어! 나 자신 칭찬해!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 목표 달성했어 나 자신 칭찬해""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 목표 달성했어 나 자신 칭찬해""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 사랑해! 너 없으면 못 살 거야.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 사랑해! 너 없으면 못 살 거야.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 사랑해 너 없으면 못 살 거야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 사랑해 너 없으면 못 살 거야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 와, 이거 진짜 대박이다! 어떻게 이런 생각을 했지?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와, 이거 진짜 대박이다! 어떻게 이런 생각을 했지?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 와 이거 진짜 대박이다 어떻게 이런 생각을 했지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 0,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와 이거 진짜 대박이다 어떻게 이런 생각을 했지""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 0, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 밤엔 꿀잠 잘 수 있을 것 같아.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 밤엔 꿀잠 잘 수 있을 것 같아.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 밤엔 꿀잠 잘 수 있을 것 같아""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 밤엔 꿀잠 잘 수 있을 것 같아""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오랜만에 친구들 만나서 수다 떠니까 너무 즐거워.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오랜만에 친구들 만나서 수다 떠니까 너무 즐거워.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오랜만에 친구들 만나서 수다 떠니까 너무 즐거워""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오랜만에 친구들 만나서 수다 떠니까 너무 즐거워""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 우리 같이 노래 부를까?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 우리 같이 노래 부를까?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_04\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 우리 같이 노래 부를까""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 우리 같이 노래 부를까""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_04\""}""}]"
